player,team,position,games,mpg,ppg,ast,reb,salary,salary_tier,per,ts_pct,ws,bpm,vorp
Jalen Williams,OKC,SG,69,2237.0,1490.0,354.0,369.0,4775760,Role Player,20.3,0.573,7.8,4.0,3.4
Gradey Dick,TOR,SG,54,1587.0,777.0,98.0,193.0,4763760,Role Player,10.9,0.543,1.4,-3.2,-0.5
Miles McBride,NYK,PG,64,1593.0,611.0,187.0,161.0,4710144,Role Player,12.6,0.531,3.2,0.0,0.8
Nicolas Batum,LAC,PF,78,1367.0,313.0,84.0,218.0,4668000,Role Player,10.3,0.633,3.5,0.8,1.0
Aaron Holiday,HOU,PG,62,792.0,340.0,83.0,78.0,4668000,Role Player,12.2,0.594,2.0,-0.2,0.3
Jalen Duren,DET,C,78,2034.0,918.0,209.0,807.0,4536840,Role Player,21.4,0.703,9.2,3.1,2.7
Nickeil Alexander-Walker,MIN,SG,82,2073.0,773.0,223.0,265.0,4312500,Role Player,11.6,0.579,4.3,-0.4,0.8
Ochai Agbaji,TOR,SG,64,1739.0,667.0,98.0,242.0,4310280,Role Player,12.0,0.601,3.1,-0.7,0.5
Quentin Grimes,2TM,SG,75,2013.0,1092.0,228.0,324.0,4296682,Role Player,15.9,0.595,3.4,0.4,1.2
Kel'el Ware,MIA,C,64,1422.0,595.0,60.0,473.0,4231800,Role Player,17.4,0.603,4.1,-0.1,0.7
Mark Williams,CHO,C,44,1171.0,671.0,109.0,447.0,4094280,Role Player,23.9,0.647,4.7,3.5,1.6
Keyonte George,UTA,PG,67,2109.0,1125.0,377.0,253.0,4084200,Role Player,12.9,0.539,1.1,-2.7,-0.3
Dwight Powell,DAL,C,55,551.0,114.0,55.0,118.0,4000000,Role Player,12.9,0.713,1.7,0.0,0.3
Day'Ron Sharpe,BRK,C,50,907.0,397.0,91.0,330.0,3989122,Role Player,19.7,0.568,2.7,0.9,0.7
Santi Aldama,MEM,PF,65,1660.0,811.0,188.0,416.0,3960531,Role Player,16.8,0.588,5.0,3.2,2.2
Amir Coffey,LAC,SG,72,1748.0,696.0,77.0,161.0,3938271,Role Player,11.2,0.614,4.0,-1.7,0.1
Dalton Knecht,LAL,SF,78,1494.0,706.0,66.0,216.0,3819120,Role Player,12.7,0.594,2.7,-1.8,0.1
Tari Eason,HOU,PF,57,1420.0,686.0,83.0,362.0,3695160,Role Player,18.5,0.567,5.0,3.6,2.0
Jaime Jaquez Jr.,MIA,SF,66,1368.0,570.0,166.0,290.0,3685800,Role Player,14.3,0.543,2.3,-0.9,0.4
Tristan Da Silva,ORL,SF,74,1629.0,533.0,113.0,245.0,3628440,Role Player,9.9,0.522,2.5,-2.6,-0.3
Brandin Podziemski,GSW,SG,64,1716.0,747.0,220.0,325.0,3519960,Role Player,14.4,0.557,4.2,0.7,1.2
